geneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AMEX60DD000145	527.6063391	-0.55436096	0.457528907	-1.21164139	0.225649684	0.999973456
AMEX60DD000147	367.101771	1.689735074	0.437633385	3.861074439	0.00011289	0.009541232
AMEX60DD000148	328.1793873	-0.043942528	0.30009262	-0.146429885	0.883582037	0.999973456
AMEX60DD000150	19.75784242	-0.061991945	1.024191398	-0.060527695	0.951735359	0.999973456
AMEX60DD000152	12.55390735	-0.165055494	1.250156085	-0.132027909	0.894962217	0.999973456
AMEX60DD000153	106.6554172	0.14686346	0.62597802	0.234614403	0.814508029	0.999973456
AMEX60DD000155	105.6858361	-1.267146789	0.552683152	-2.292718322	0.021864227	0.387318594
AMEX60DD000156	24.80804747	-0.683117762	0.932619191	-0.732472341	0.463880319	0.999973456
AMEX60DD000157	35.02133691	0.356262386	1.018700059	0.349722553	0.726546926	0.999973456
AMEX60DD000159	17.52208334	-0.122588406	1.327103241	-0.092372923	0.926401752	0.999973456
AMEX60DD000160	333.2010928	-1.027823722	0.378547057	-2.715180856	0.006623959	0.17789194
AMEX60DD000163	1103.858008	0.132060725	0.234908373	0.562179725	0.573993574	0.999973456
AMEX60DD000164	2015.475063	-0.051691225	0.264492633	-0.195435405	0.845052102	0.999973456
AMEX60DD000166	2618.978181	-0.234709272	0.226962602	-1.034131921	0.301074495	0.999973456
AMEX60DD000167	32617.94995	-0.190062346	0.288761333	-0.658198743	0.510410433	0.999973456
AMEX60DD000168	35.38923557	-0.122258802	0.848174821	-0.1441434	0.885387234	0.999973456
AMEX60DD000170	201.7314015	-0.194134032	0.549302344	-0.353419268	0.723774143	0.999973456
AMEX60DD000171	4357.425195	-0.087117469	0.239353274	-0.36397024	0.715880233	0.999973456
AMEX60DD000172	3538.641712	0.054623209	0.256915519	0.21261156	0.831629954	0.999973456
AMEX60DD000173	31.80403515	-0.038579	0.96094727	-0.040146844	0.967976056	0.999973456
AMEX60DD000175	186.9744833	0.146662775	0.631840758	0.23211984	0.816444936	0.999973456
AMEX60DD000176	427.2799477	0.366115347	0.330307201	1.108408617	0.267685385	0.999973456
AMEX60DD000177	750.9037546	0.195506003	0.342281554	0.571184748	0.567874416	0.999973456
AMEX60DD000178	99.55408284	0.16344868	0.697202883	0.234434889	0.814647376	0.999973456
AMEX60DD000180	383.3895371	-0.142470527	0.465623284	-0.305978099	0.759621321	0.999973456
AMEX60DD000181	384.1583975	0.221238851	0.595335426	0.371620505	0.71017542	0.999973456
AMEX60DD000183	119.1340828	0.045594379	0.502257386	0.090778911	0.927668267	0.999973456
AMEX60DD000184	211.2979254	0.1082908	0.446969406	0.242277879	0.808564853	0.999973456
AMEX60DD000187	78.81965831	-0.808591168	0.528064473	-1.531235691	0.125711153	0.999973456
AMEX60DD000191	12.02963001	-0.45977038	1.473635422	-0.311997373	0.75504252	0.999973456
AMEX60DD000192	42.89589985	-0.111627744	0.73438284	-0.152002113	0.879185269	0.999973456
AMEX60DD000193	706.5860356	-0.090501471	0.277273311	-0.326398062	0.744123204	0.999973456
AMEX60DD000195	951.0697607	0.175467509	0.227180534	0.772370355	0.439895107	0.999973456
AMEX60DD000198	775.8477929	-0.480725122	0.304481414	-1.578832401	0.114374505	0.983280881
AMEX60DD000212	21.97913347	-1.099051871	1.014639611	-1.083194327	0.278722177	0.999973456
AMEX60DD000215	1101.588618	-0.001547287	0.232169892	-0.00666446	0.994682569	0.999973456
AMEX60DD000216	1827.20471	-0.163719032	0.260808792	-0.627735862	0.530176988	0.999973456
AMEX60DD000218	2986.092381	-0.194725406	0.185050741	-1.052281148	0.292670578	0.999973456
AMEX60DD000223	1676.344345	0.056145893	0.211045801	0.26603653	0.790211075	0.999973456
AMEX60DD000224	2402.491125	-0.153279416	0.211900579	-0.723355344	0.469461599	0.999973456
AMEX60DD000226	85.5894615	-0.680288524	0.892737962	-0.762024865	0.446045164	0.999973456
AMEX60DD000229	127.8428702	-0.341623922	0.639415476	-0.534275342	0.593151049	0.999973456
AMEX60DD000230	21.75301714	-0.741232373	0.932505476	-0.794882595	0.4266818	0.999973456
AMEX60DD000236	2822.674258	-0.054293204	0.371927673	-0.145977855	0.883938871	0.999973456
AMEX60DD000243	957.1886322	-0.050560079	0.22947801	-0.220326465	0.825616911	0.999973456
AMEX60DD000244	25914.29454	-0.277475234	0.220782395	-1.25678152	0.20883276	0.999973456
AMEX60DD000245	50.75385983	-0.192907991	0.629000536	-0.306689709	0.759079564	0.999973456
AMEX60DD000247	1695.539395	0.110486113	0.343551022	0.321600303	0.747755514	0.999973456
AMEX60DD000250	778.033735	0.155636638	0.284100787	0.547821918	0.583814187	0.999973456
AMEX60DD000251	410.8017409	0.023507307	0.447198507	0.05256571	0.958077939	0.999973456
AMEX60DD000253	2309.017168	-0.213298387	0.205632269	-1.037280718	0.29960505	0.999973456
