"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","signaling receptor activity","GO:0038023","true","1.0823373769814589e-16","15.965637343552126","630","792","98","14387","ENSG00000006016,ENSG00000006071,ENSG00000011028,ENSG00000013588,ENSG00000021645,ENSG00000049249,ENSG00000049323,ENSG00000064300,ENSG00000064989,ENSG00000066468,ENSG00000067182,ENSG00000069431,ENSG00000075275,ENSG00000077092,ENSG00000077238,ENSG00000083454,ENSG00000091592,ENSG00000101000,ENSG00000101292,ENSG00000103490,ENSG00000104213,ENSG00000105464,ENSG00000106991,ENSG00000110195,ENSG00000111199,ENSG00000112038,ENSG00000112164,ENSG00000113763,ENSG00000115353,ENSG00000116678,ENSG00000117525,ENSG00000119508,ENSG00000121966,ENSG00000122679,ENSG00000123146,ENSG00000125384,ENSG00000127418,ENSG00000128052,ENSG00000132170,ENSG00000132256,ENSG00000135902,ENSG00000136160,ENSG00000136546,ENSG00000144476,ENSG00000145451,ENSG00000145623,ENSG00000148053,ENSG00000150594,ENSG00000152894,ENSG00000153029,ENSG00000153294,ENSG00000153707,ENSG00000154133,ENSG00000154928,ENSG00000156687,ENSG00000157404,ENSG00000158270,ENSG00000160013,ENSG00000162894,ENSG00000163394,ENSG00000163513,ENSG00000164082,ENSG00000164342,ENSG00000164509,ENSG00000166206,ENSG00000166825,ENSG00000167664,ENSG00000168412,ENSG00000168539,ENSG00000169860,ENSG00000170775,ENSG00000171631,ENSG00000172572,ENSG00000173567,ENSG00000173662,ENSG00000176884,ENSG00000179546,ENSG00000180720,ENSG00000180739,ENSG00000180772,ENSG00000181072,ENSG00000181656,ENSG00000182771,ENSG00000183098,ENSG00000185291,ENSG00000185551,ENSG00000185924,ENSG00000186827,ENSG00000187323,ENSG00000196187,ENSG00000196277,ENSG00000196664,ENSG00000198121,ENSG00000198963,ENSG00000213694,ENSG00000221866,ENSG00000237988,ENSG00000243364"
"GO:MF","molecular transducer activity","GO:0060089","false","1.0823373769814589e-16","15.965637343552126","630","792","98","14387","ENSG00000006016,ENSG00000006071,ENSG00000011028,ENSG00000013588,ENSG00000021645,ENSG00000049249,ENSG00000049323,ENSG00000064300,ENSG00000064989,ENSG00000066468,ENSG00000067182,ENSG00000069431,ENSG00000075275,ENSG00000077092,ENSG00000077238,ENSG00000083454,ENSG00000091592,ENSG00000101000,ENSG00000101292,ENSG00000103490,ENSG00000104213,ENSG00000105464,ENSG00000106991,ENSG00000110195,ENSG00000111199,ENSG00000112038,ENSG00000112164,ENSG00000113763,ENSG00000115353,ENSG00000116678,ENSG00000117525,ENSG00000119508,ENSG00000121966,ENSG00000122679,ENSG00000123146,ENSG00000125384,ENSG00000127418,ENSG00000128052,ENSG00000132170,ENSG00000132256,ENSG00000135902,ENSG00000136160,ENSG00000136546,ENSG00000144476,ENSG00000145451,ENSG00000145623,ENSG00000148053,ENSG00000150594,ENSG00000152894,ENSG00000153029,ENSG00000153294,ENSG00000153707,ENSG00000154133,ENSG00000154928,ENSG00000156687,ENSG00000157404,ENSG00000158270,ENSG00000160013,ENSG00000162894,ENSG00000163394,ENSG00000163513,ENSG00000164082,ENSG00000164342,ENSG00000164509,ENSG00000166206,ENSG00000166825,ENSG00000167664,ENSG00000168412,ENSG00000168539,ENSG00000169860,ENSG00000170775,ENSG00000171631,ENSG00000172572,ENSG00000173567,ENSG00000173662,ENSG00000176884,ENSG00000179546,ENSG00000180720,ENSG00000180739,ENSG00000180772,ENSG00000181072,ENSG00000181656,ENSG00000182771,ENSG00000183098,ENSG00000185291,ENSG00000185551,ENSG00000185924,ENSG00000186827,ENSG00000187323,ENSG00000196187,ENSG00000196277,ENSG00000196664,ENSG00000198121,ENSG00000198963,ENSG00000213694,ENSG00000221866,ENSG00000237988,ENSG00000243364"
"GO:MF","transmembrane signaling receptor activity","GO:0004888","false","5.310077467908196e-15","14.274899143016528","475","792","80","14387","ENSG00000006016,ENSG00000006071,ENSG00000013588,ENSG00000021645,ENSG00000049323,ENSG00000064300,ENSG00000064989,ENSG00000066468,ENSG00000067182,ENSG00000069431,ENSG00000075275,ENSG00000077238,ENSG00000083454,ENSG00000101292,ENSG00000104213,ENSG00000105464,ENSG00000106991,ENSG00000111199,ENSG00000112038,ENSG00000112164,ENSG00000113763,ENSG00000115353,ENSG00000116678,ENSG00000117525,ENSG00000121966,ENSG00000122679,ENSG00000123146,ENSG00000125384,ENSG00000127418,ENSG00000128052,ENSG00000132170,ENSG00000135902,ENSG00000136160,ENSG00000136546,ENSG00000144476,ENSG00000145451,ENSG00000145623,ENSG00000148053,ENSG00000150594,ENSG00000152894,ENSG00000153029,ENSG00000153294,ENSG00000153707,ENSG00000154928,ENSG00000156687,ENSG00000157404,ENSG00000160013,ENSG00000162894,ENSG00000163394,ENSG00000163513,ENSG00000164082,ENSG00000164342,ENSG00000164509,ENSG00000166206,ENSG00000168412,ENSG00000168539,ENSG00000169860,ENSG00000170775,ENSG00000171631,ENSG00000173567,ENSG00000173662,ENSG00000176884,ENSG00000179546,ENSG00000180720,ENSG00000180739,ENSG00000180772,ENSG00000181072,ENSG00000181656,ENSG00000182771,ENSG00000185291,ENSG00000186827,ENSG00000187323,ENSG00000196187,ENSG00000196277,ENSG00000198121,ENSG00000198963,ENSG00000213694,ENSG00000221866,ENSG00000237988,ENSG00000243364"
"GO:MF","signaling receptor activator activity","GO:0030546","true","1.7395009243613266e-13","12.759575336134606","271","792","56","14387","ENSG00000001617,ENSG00000006016,ENSG00000019991,ENSG00000075213,ENSG00000078401,ENSG00000078579,ENSG00000081041,ENSG00000092421,ENSG00000102265,ENSG00000104826,ENSG00000105329,ENSG00000106991,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000110492,ENSG00000113739,ENSG00000114251,ENSG00000115414,ENSG00000115461,ENSG00000119699,ENSG00000120659,ENSG00000120885,ENSG00000125538,ENSG00000125730,ENSG00000125848,ENSG00000130203,ENSG00000137077,ENSG00000139269,ENSG00000140285,ENSG00000143816,ENSG00000143869,ENSG00000147869,ENSG00000150281,ENSG00000153993,ENSG00000160223,ENSG00000162344,ENSG00000163273,ENSG00000163377,ENSG00000164326,ENSG00000165197,ENSG00000166923,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172247,ENSG00000175505,ENSG00000180875,ENSG00000189292,ENSG00000196154,ENSG00000198719,ENSG00000204592,ENSG00000219438,ENSG00000232810,ENSG00000266524,ENSG00000271503"
"GO:MF","receptor ligand activity","GO:0048018","false","2.3806144573463265e-13","12.623310933282541","264","792","55","14387","ENSG00000001617,ENSG00000006016,ENSG00000019991,ENSG00000075213,ENSG00000078401,ENSG00000078579,ENSG00000081041,ENSG00000092421,ENSG00000102265,ENSG00000104826,ENSG00000105329,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000110492,ENSG00000113739,ENSG00000114251,ENSG00000115414,ENSG00000115461,ENSG00000119699,ENSG00000120659,ENSG00000120885,ENSG00000125538,ENSG00000125730,ENSG00000125848,ENSG00000130203,ENSG00000137077,ENSG00000139269,ENSG00000140285,ENSG00000143816,ENSG00000143869,ENSG00000147869,ENSG00000150281,ENSG00000153993,ENSG00000160223,ENSG00000162344,ENSG00000163273,ENSG00000163377,ENSG00000164326,ENSG00000165197,ENSG00000166923,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172247,ENSG00000175505,ENSG00000180875,ENSG00000189292,ENSG00000196154,ENSG00000198719,ENSG00000204592,ENSG00000219438,ENSG00000232810,ENSG00000266524,ENSG00000271503"
"GO:MF","signaling receptor regulator activity","GO:0030545","false","3.6040889073115825e-13","12.443204504186157","293","792","58","14387","ENSG00000001617,ENSG00000006016,ENSG00000019991,ENSG00000075213,ENSG00000078401,ENSG00000078579,ENSG00000081041,ENSG00000092421,ENSG00000102265,ENSG00000104826,ENSG00000105329,ENSG00000106991,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000110492,ENSG00000113739,ENSG00000114251,ENSG00000115414,ENSG00000115461,ENSG00000119699,ENSG00000120659,ENSG00000120885,ENSG00000125538,ENSG00000125730,ENSG00000125848,ENSG00000130203,ENSG00000137077,ENSG00000139269,ENSG00000140285,ENSG00000143816,ENSG00000143869,ENSG00000147255,ENSG00000147869,ENSG00000150281,ENSG00000153993,ENSG00000160223,ENSG00000162344,ENSG00000163273,ENSG00000163377,ENSG00000164326,ENSG00000165197,ENSG00000166923,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172247,ENSG00000175505,ENSG00000180772,ENSG00000180875,ENSG00000189292,ENSG00000196154,ENSG00000198719,ENSG00000204592,ENSG00000219438,ENSG00000232810,ENSG00000266524,ENSG00000271503"
"GO:MF","glycosaminoglycan binding","GO:0005539","true","4.56589872659881e-11","10.340473725558677","150","792","38","14387","ENSG00000000971,ENSG00000009694,ENSG00000011465,ENSG00000012223,ENSG00000038427,ENSG00000066468,ENSG00000080573,ENSG00000091986,ENSG00000101282,ENSG00000104332,ENSG00000106991,ENSG00000108688,ENSG00000108700,ENSG00000110492,ENSG00000115414,ENSG00000123610,ENSG00000127418,ENSG00000130203,ENSG00000130635,ENSG00000135919,ENSG00000140285,ENSG00000154175,ENSG00000163430,ENSG00000163513,ENSG00000165973,ENSG00000166106,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172638,ENSG00000173376,ENSG00000180875,ENSG00000182492,ENSG00000184613,ENSG00000185924,ENSG00000188783,ENSG00000196562,ENSG00000204381"
"GO:MF","cytokine activity","GO:0005125","false","3.61239849364453e-10","9.442204347493366","100","792","30","14387","ENSG00000006016,ENSG00000078401,ENSG00000081041,ENSG00000102265,ENSG00000105329,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000114251,ENSG00000119699,ENSG00000120659,ENSG00000125538,ENSG00000137077,ENSG00000139269,ENSG00000143816,ENSG00000143869,ENSG00000147869,ENSG00000150281,ENSG00000166923,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172247,ENSG00000175505,ENSG00000180875,ENSG00000189292,ENSG00000219438,ENSG00000232810,ENSG00000266524,ENSG00000271503"
"GO:MF","heparin binding","GO:0008201","false","6.072055957475832e-9","8.216664234821568","110","792","30","14387","ENSG00000000971,ENSG00000009694,ENSG00000012223,ENSG00000066468,ENSG00000080573,ENSG00000091986,ENSG00000101282,ENSG00000104332,ENSG00000108688,ENSG00000108700,ENSG00000110492,ENSG00000115414,ENSG00000127418,ENSG00000130203,ENSG00000130635,ENSG00000135919,ENSG00000140285,ENSG00000154175,ENSG00000163430,ENSG00000165973,ENSG00000166106,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172638,ENSG00000173376,ENSG00000180875,ENSG00000184613,ENSG00000185924,ENSG00000188783"
"GO:MF","extracellular matrix structural constituent","GO:0005201","true","1.3208882756629653e-8","7.879133914645156","113","792","30","14387","ENSG00000011465,ENSG00000038427,ENSG00000041982,ENSG00000049323,ENSG00000080573,ENSG00000087303,ENSG00000101955,ENSG00000108821,ENSG00000115414,ENSG00000130635,ENSG00000132000,ENSG00000132561,ENSG00000139219,ENSG00000139329,ENSG00000142173,ENSG00000152377,ENSG00000154175,ENSG00000163359,ENSG00000164176,ENSG00000164692,ENSG00000166482,ENSG00000168542,ENSG00000169436,ENSG00000171812,ENSG00000172638,ENSG00000174348,ENSG00000182492,ENSG00000182871,ENSG00000188783,ENSG00000204248"
"GO:MF","G protein-coupled receptor activity","GO:0004930","false","0.0000026465037888382507","5.577327479919315","218","792","39","14387","ENSG00000013588,ENSG00000064989,ENSG00000075275,ENSG00000101292,ENSG00000104213,ENSG00000112038,ENSG00000112164,ENSG00000115353,ENSG00000121966,ENSG00000122679,ENSG00000123146,ENSG00000125384,ENSG00000132170,ENSG00000136160,ENSG00000144476,ENSG00000150594,ENSG00000153294,ENSG00000160013,ENSG00000163394,ENSG00000164082,ENSG00000168412,ENSG00000168539,ENSG00000169860,ENSG00000170775,ENSG00000171631,ENSG00000173567,ENSG00000173662,ENSG00000179546,ENSG00000180720,ENSG00000180739,ENSG00000180772,ENSG00000181072,ENSG00000181656,ENSG00000182771,ENSG00000196277,ENSG00000198121,ENSG00000198963,ENSG00000213694,ENSG00000237988"
"GO:MF","sulfur compound binding","GO:1901681","false","0.000034163916447705204","4.466432348927682","188","792","34","14387","ENSG00000000971,ENSG00000009694,ENSG00000012223,ENSG00000066468,ENSG00000080573,ENSG00000091986,ENSG00000101282,ENSG00000104332,ENSG00000108688,ENSG00000108700,ENSG00000110492,ENSG00000115414,ENSG00000127418,ENSG00000130203,ENSG00000130635,ENSG00000135919,ENSG00000140285,ENSG00000154175,ENSG00000163430,ENSG00000165973,ENSG00000166106,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000172638,ENSG00000173376,ENSG00000180875,ENSG00000182022,ENSG00000184613,ENSG00000185924,ENSG00000188783,ENSG00000196502,ENSG00000197093,ENSG00000198626"
"GO:MF","signaling receptor binding","GO:0005102","true","0.00007744225352592423","4.111022017791168","896","792","93","14387","ENSG00000001617,ENSG00000006016,ENSG00000019991,ENSG00000021645,ENSG00000041982,ENSG00000056558,ENSG00000070540,ENSG00000075213,ENSG00000078098,ENSG00000078401,ENSG00000078579,ENSG00000081041,ENSG00000090932,ENSG00000091409,ENSG00000092421,ENSG00000101282,ENSG00000101463,ENSG00000103154,ENSG00000103490,ENSG00000104332,ENSG00000104826,ENSG00000105329,ENSG00000106538,ENSG00000106991,ENSG00000108231,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000112530,ENSG00000114251,ENSG00000115414,ENSG00000119699,ENSG00000120332,ENSG00000120659,ENSG00000120885,ENSG00000125538,ENSG00000125730,ENSG00000125848,ENSG00000128052,ENSG00000130203,ENSG00000130635,ENSG00000135919,ENSG00000135926,ENSG00000136160,ENSG00000137077,ENSG00000139219,ENSG00000139549,ENSG00000140285,ENSG00000143816,ENSG00000143839,ENSG00000145623,ENSG00000146006,ENSG00000147065,ENSG00000150281,ENSG00000150594,ENSG00000152104,ENSG00000153029,ENSG00000153707,ENSG00000153993,ENSG00000155926,ENSG00000160223,ENSG00000160349,ENSG00000161681,ENSG00000162105,ENSG00000162344,ENSG00000163273,ENSG00000163513,ENSG00000164176,ENSG00000164674,ENSG00000165197,ENSG00000165917,ENSG00000166862,ENSG00000166863,ENSG00000166923,ENSG00000168542,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000169860,ENSG00000170891,ENSG00000173805,ENSG00000175505,ENSG00000185345,ENSG00000189292,ENSG00000196154,ENSG00000198719,ENSG00000204592,ENSG00000213694,ENSG00000219438,ENSG00000232810,ENSG00000240583,ENSG00000243364,ENSG00000271503"
"GO:MF","gated channel activity","GO:0022836","true","0.0002371893257476146","3.6249048594613154","202","792","34","14387","ENSG00000006071,ENSG00000069431,ENSG00000080709,ENSG00000083454,ENSG00000105464,ENSG00000107147,ENSG00000111199,ENSG00000112038,ENSG00000129159,ENSG00000130433,ENSG00000130529,ENSG00000135902,ENSG00000136546,ENSG00000145451,ENSG00000149488,ENSG00000152049,ENSG00000165995,ENSG00000166206,ENSG00000166862,ENSG00000168418,ENSG00000169427,ENSG00000171227,ENSG00000171303,ENSG00000176884,ENSG00000177272,ENSG00000177301,ENSG00000182771,ENSG00000185101,ENSG00000185760,ENSG00000187486,ENSG00000196187,ENSG00000198515,ENSG00000198626,ENSG00000240583"
"GO:MF","chemokine activity","GO:0008009","false","0.0008234713774086253","3.084351491636333","15","792","9","14387","ENSG00000081041,ENSG00000108688,ENSG00000108691,ENSG00000108700,ENSG00000137077,ENSG00000169245,ENSG00000169248,ENSG00000169429,ENSG00000271503"
"GO:MF","channel activity","GO:0015267","false","0.0011665771213017124","2.93308654512686","323","792","44","14387","ENSG00000006071,ENSG00000069431,ENSG00000080709,ENSG00000083454,ENSG00000103569,ENSG00000104518,ENSG00000105464,ENSG00000107147,ENSG00000111199,ENSG00000112038,ENSG00000129159,ENSG00000130433,ENSG00000130529,ENSG00000132677,ENSG00000135902,ENSG00000135926,ENSG00000136546,ENSG00000145451,ENSG00000147606,ENSG00000149488,ENSG00000152049,ENSG00000152661,ENSG00000155886,ENSG00000165995,ENSG00000166206,ENSG00000166862,ENSG00000168418,ENSG00000169427,ENSG00000169583,ENSG00000171227,ENSG00000171303,ENSG00000176884,ENSG00000177272,ENSG00000177301,ENSG00000182771,ENSG00000185101,ENSG00000185760,ENSG00000187486,ENSG00000196187,ENSG00000198515,ENSG00000198626,ENSG00000198835,ENSG00000240583,ENSG00000255346"
"GO:MF","passive transmembrane transporter activity","GO:0022803","false","0.0011665771213017124","2.93308654512686","323","792","44","14387","ENSG00000006071,ENSG00000069431,ENSG00000080709,ENSG00000083454,ENSG00000103569,ENSG00000104518,ENSG00000105464,ENSG00000107147,ENSG00000111199,ENSG00000112038,ENSG00000129159,ENSG00000130433,ENSG00000130529,ENSG00000132677,ENSG00000135902,ENSG00000135926,ENSG00000136546,ENSG00000145451,ENSG00000147606,ENSG00000149488,ENSG00000152049,ENSG00000152661,ENSG00000155886,ENSG00000165995,ENSG00000166206,ENSG00000166862,ENSG00000168418,ENSG00000169427,ENSG00000169583,ENSG00000171227,ENSG00000171303,ENSG00000176884,ENSG00000177272,ENSG00000177301,ENSG00000182771,ENSG00000185101,ENSG00000185760,ENSG00000187486,ENSG00000196187,ENSG00000198515,ENSG00000198626,ENSG00000198835,ENSG00000240583,ENSG00000255346"
"GO:MF","extracellular matrix structural constituent conferring tensile strength","GO:0030020","false","0.0019066173159435562","2.7197364670231963","31","792","12","14387","ENSG00000080573,ENSG00000108821,ENSG00000130635,ENSG00000139219,ENSG00000142173,ENSG00000163359,ENSG00000164692,ENSG00000168542,ENSG00000169436,ENSG00000171812,ENSG00000182871,ENSG00000204248"
