Gene.ID	Gene.Name	Log2FC	FDR	AveExpr	undif.r1	undif.r2	undif.r3	dif.r1	dif.r2	dif.r3
ENSG00000214756	CSKMT	-0.226502768	0.264012641	2.65799957738145	155	136	128	139	125	116
ENSG00000214827	MTCP1	0.092763588	0.748252975	0.862888549059024	44	29	36	31	43	48
ENSG00000214842	RAD51AP2	0.245572796	0.743007807	-1.3995188100719	4	14	5	11	5	11
ENSG00000214872	SMTNL1	0.351399989	0.435113746	0.146610761876564	13	29	20	30	25	25
ENSG00000214941	ZSWIM7	0.097666575	0.311112523	5.26135787494774	853	785	660	789	917	873
ENSG00000214944	ARHGEF28	0.666855293	0.002099536	4.76489474582231	536	439	368	704	766	757
ENSG00000214954	LRRC69	0.089420203	0.877837941	-0.267229022232476	22	14	14	8	33	21
ENSG00000214960	ISPD	-2.380791615	0.000445003	1.18043054212476	121	97	102	15	19	32
ENSG00000215009	ACSM4	-1.089108769	0.005065151	1.88918546803115	122	95	118	42	52	73
ENSG00000215012	RTL10	-0.528775294	0.003574345	4.49245660353904	599	617	463	362	432	425
ENSG00000215018	COL28A1	1.866306339	0.025090518	-1.78930535557806	5	3	1	14	8	14
ENSG00000215021	PHB2	-0.232836945	0.017283956	8.18885507935173	7003	6635	5932	5273	6378	5858
ENSG00000215041	NEURL4	-0.564978679	0.010368092	5.84742395316298	1579	1536	1238	728	1243	1177
ENSG00000215045	GRID2IP	0.669234288	0.027590533	1.97609524577714	68	69	56	72	135	123
ENSG00000215114	UBXN2B	-0.215748169	0.084642774	5.94067871960001	1452	1322	1318	974	1483	1290
ENSG00000215126	CBWD6	0.179710565	0.418241003	2.31035756367809	95	109	83	110	102	132
ENSG00000215187	FAM166B	-0.336814521	0.465506033	-1.4476724078949	12	6	7	5	8	7
ENSG00000215193	PEX26	-0.580580319	0.000624784	6.43724586779963	2274	2204	2068	1285	1735	1610
ENSG00000215217	C5orf49	2.403328922	0.051768835	-1.81239686070241	5	5	0	22	9	14
ENSG00000215218	UBE2QL1	-0.246656808	0.487168258	4.94463789575826	825	696	578	346	661	984
ENSG00000215251	FASTKD5	-0.047055227	0.775610646	5.013707676089	729	678	627	490	827	793
ENSG00000215252	GOLGA8B	0.561106256	0.002289786	6.31192035265487	1437	1381	1226	1984	2014	2272
ENSG00000215271	HOMEZ	0.121140332	0.412657503	4.10366706944061	367	339	315	289	467	426
ENSG00000215277	RNF212B	1.622526651	0.004088208	-0.867628220885822	6	7	5	15	25	22
ENSG00000215301	DDX3X	-0.282753881	0.04217571	9.05066430051956	12799	11717	11611	8082	11704	11879
ENSG00000215305	VPS16	-0.111426654	0.244274514	6.2773437043063	1817	1747	1436	1393	1703	1769
ENSG00000215375	MYL5	0.565254822	0.109553836	4.24319693890776	360	317	280	690	419	436
ENSG00000215397	SCRT2	-2.245469637	0.000489384	3.03620638922636	424	381	316	43	118	101
ENSG00000215421	ZNF407	-0.535388608	0.007043951	4.10328767664827	440	430	410	235	339	364
ENSG00000215440	NPEPL1	1.651255155	9.54429e-05	3.37335956531322	132	127	102	360	406	429
ENSG00000215472	RPL17-C18orf32	-0.239959463	0.68458919	-0.95568260886867	13	14	7	16	10	6
ENSG00000215475	SIAH3	1.943569357	0.059147212	-1.65033074293238	2	9	1	22	13	8
ENSG00000215612	HMX1	-4.41299782	5.65072e-05	1.34739708748104	251	239	237	9	18	9
ENSG00000215644	GCGR	-1.528276944	0.013129136	-1.28155036020055	17	12	13	5	7	3
ENSG00000215712	TMEM242	0.418510089	0.009206068	4.18725377426903	354	309	309	433	461	473
ENSG00000215717	TMEM167B	0.59600027	0.002183186	5.27544771158671	685	669	591	1013	1012	1066
ENSG00000215784	FAM72D	-1.28366673	0.007122779	1.46255090128092	84	87	97	21	53	46
ENSG00000215788	TNFRSF25	0.656673822	0.001905679	5.36351595256338	700	699	628	872	1222	1304
ENSG00000215790	SLC35E2A	-0.074381043	0.503719994	4.4465797098822	490	490	403	437	481	462
ENSG00000215817	ZC3H11B	0.264294635	0.218824796	1.68286380206368	55	67	58	70	77	80
ENSG00000215845	TSTD1	-0.348163116	0.028232407	3.82555382149395	378	323	289	246	269	303
ENSG00000215883	CYB5RL	-0.559687426	0.004932949	4.15947551522646	488	449	408	240	384	345
ENSG00000215912	TTC34	-0.983163085	0.022250052	0.152790136814296	37	32	26	21	14	16
ENSG00000215915	ATAD3C	1.104614631	0.011587859	0.482670512463999	17	27	15	43	42	47
ENSG00000216937	CCDC7	0.571331987	0.048620692	1.72579895936311	49	58	60	76	81	105
